book_id,openlibrary_key,title,authors,isbn,isbn_type,isbn_source,isbn_length,structurally_valid_length,title_compare,authors_compare
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],002863912X,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671011138,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671317032,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671711164,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671711350,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671749102,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671755455,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0671792806,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],068485841X,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0743468600,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0743501551,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
BOOK00001,/works/OL2630041W,Principle-Centered Leadership,['Stephen R. Covey'],0916095312,ISBN-10,all_isbns,10,True,principle centered leadership,stephen r covey
